Date,Day,Sales
2023/4/1,Sat,104740
2023/4/2,Sun,136930
2023/4/3,Mon,113060
2023/4/4,Tue,85670
2023/4/5,Wed,113590
2023/4/6,Thu,128210
2023/4/7,Fri,139730
2023/4/8,Sat,207870
2023/4/9,Sun,153640
2023/4/10,Mon,124690
2023/4/11,Tue,111700
2023/4/12,Wed,109200
2023/4/13,Thu,73340
2023/4/14,Fri,114950
2023/4/15,Sat,150790
2023/4/16,Sun,128370
2023/4/17,Mon,103690
2023/4/18,Tue,89990
2023/4/19,Wed,86910
2023/4/20,Thu,128100
2023/4/21,Fri,144390
2023/4/22,Sat,182590
2023/4/23,Sun,163190
2023/4/24,Mon,102310
2023/4/25,Tue,97070
2023/4/26,Wed,116290
2023/4/27,Thu,123600
2023/4/28,Fri,107370
2023/4/29,Sat,197690
2023/4/30,Sun,161700
2023/5/1,Mon,131430
2023/5/2,Tue,149730
2023/5/3,Wed,162150
2023/5/4,Thu,138240
2023/5/5,Fri,138560
2023/5/6,Sat,125920
2023/5/7,Sun,145010
2023/5/8,Mon,84850
2023/5/9,Tue,64600
2023/5/10,Wed,135120
2023/5/11,Thu,137480
2023/5/12,Fri,93690
2023/5/13,Sat,136960
2023/5/14,Sun,147360
2023/5/15,Mon,109140
2023/5/16,Tue,108430
2023/5/17,Wed,123900
2023/5/18,Thu,124160
2023/5/19,Fri,122260
2023/5/20,Sat,105450
2023/5/21,Sun,98330
2023/5/22,Mon,71660
2023/5/23,Tue,96610
2023/5/24,Wed,96590
2023/5/25,Thu,123870
2023/5/26,Fri,130280
2023/5/27,Sat,134210
2023/5/28,Sun,161960
2023/5/29,Mon,221440
2023/5/30,Tue,106600
2023/5/31,Wed,98280
2023/6/1,Thu,100630
2023/6/2,Fri,118100
2023/6/3,Sat,145210
2023/6/4,Sun,131470
2023/6/5,Mon,66420
2023/6/6,Tue,93490
2023/6/7,Wed,101610
2023/6/8,Thu,98950
2023/6/9,Fri,116410
2023/6/10,Sat,179910
2023/6/11,Sun,150170
2023/6/12,Mon,108730
2023/6/13,Tue,121470
2023/6/14,Wed,87160
2023/6/15,Thu,105090
2023/6/16,Fri,124500
2023/6/17,Sat,131350
2023/6/18,Sun,147780
2023/6/19,Mon,104410
2023/6/20,Tue,124050
2023/6/21,Wed,112420
2023/6/22,Thu,110150
2023/6/23,Fri,140160
2023/6/24,Sat,117610
2023/6/25,Sun,170560
2023/6/26,Mon,127450
2023/6/27,Tue,119090
2023/6/28,Wed,82230
2023/6/29,Thu,227710
2023/6/30,Fri,110070
2023/7/1,Sat,126920
2023/7/2,Sun,146430
2023/7/3,Mon,105170
2023/7/4,Tue,82530
2023/7/5,Wed,125440
2023/7/6,Thu,106560
2023/7/7,Fri,162950
2023/7/8,Sat,139150
2023/7/9,Sun,152880
2023/7/10,Mon,77980
2023/7/11,Tue,137930
2023/7/12,Wed,117300
2023/7/13,Thu,118340
2023/7/14,Fri,158590
2023/7/15,Sat,112170
2023/7/16,Sun,163940
2023/7/17,Mon,96090
2023/7/18,Tue,124440
2023/7/19,Wed,91420
2023/7/20,Thu,104320
2023/7/21,Fri,156900
2023/7/22,Sat,116470
2023/7/23,Sun,115280
2023/7/24,Mon,126830
2023/7/25,Tue,139440
2023/7/26,Wed,150890
2023/7/27,Thu,110400
2023/7/28,Fri,213280
2023/7/29,Sat,206890
2023/7/30,Sun,110070
2023/7/31,Mon,101360
2023/8/1,Tue,120710
2023/8/2,Wed,141410
2023/8/3,Thu,142460
2023/8/4,Fri,160320
2023/8/5,Sat,118240
2023/8/6,Sun,107880
2023/8/7,Mon,87870
2023/8/8,Tue,83330
2023/8/9,Wed,106290
2023/8/10,Thu,123230
2023/8/11,Fri,102900
2023/8/12,Sat,118750
2023/8/13,Sun,117820
2023/8/14,Mon,107640
2023/8/15,Tue,144400
2023/8/16,Wed,90580
2023/8/17,Thu,100830
2023/8/18,Fri,140070
2023/8/19,Sat,108230
2023/8/20,Sun,124870
2023/8/21,Mon,100490
2023/8/22,Tue,121410
2023/8/23,Wed,121770
2023/8/24,Thu,137320
2023/8/25,Fri,200490
2023/8/26,Sat,161620
2023/8/27,Sun,162730
2023/8/28,Mon,98040
2023/8/29,Tue,177060
2023/8/30,Wed,77440
2023/8/31,Thu,116950
2023/9/1,Fri,106310
2023/9/2,Sat,130860
2023/9/3,Sun,164610
2023/9/4,Mon,103610
2023/9/5,Tue,96380
2023/9/6,Wed,100660
2023/9/7,Thu,87020
2023/9/8,Fri,115440
2023/9/9,Sat,130610
2023/9/10,Sun,160420
2023/9/11,Mon,71830
2023/9/12,Tue,95430
2023/9/13,Wed,107400
2023/9/14,Thu,90550
2023/9/15,Fri,109270
2023/9/16,Sat,123800
2023/9/17,Sun,147100
2023/9/18,Mon,133540
2023/9/19,Tue,96410
2023/9/20,Wed,113130
2023/9/21,Thu,72880
2023/9/22,Fri,132640
2023/9/23,Sat,113400
2023/9/24,Sun,120200
2023/9/25,Mon,92900
2023/9/26,Tue,85460
2023/9/27,Wed,151730
2023/9/28,Thu,119050
2023/9/29,Fri,155630
2023/9/30,Sat,151370
2023/10/1,Sun,183720
2023/10/2,Mon,118400
2023/10/3,Tue,81740
2023/10/4,Wed,94900
2023/10/5,Thu,147050
2023/10/6,Fri,86550
2023/10/7,Sat,141020
2023/10/8,Sun,162850
2023/10/9,Mon,140590
2023/10/10,Tue,97250
2023/10/11,Wed,100510
2023/10/12,Thu,181500
2023/10/13,Fri,184580
2023/10/14,Sat,225800
2023/10/15,Sun,175420
2023/10/16,Mon,88650
2023/10/17,Tue,91450
2023/10/18,Wed,118150
2023/10/19,Thu,80080
2023/10/20,Fri,166140
2023/10/21,Sat,199990
2023/10/22,Sun,183850
2023/10/23,Mon,98600
2023/10/24,Tue,104150
2023/10/25,Wed,123480
2023/10/26,Thu,129450
2023/10/27,Fri,129970
2023/10/28,Sat,135800
2023/10/29,Sun,229760
2023/10/30,Mon,97690
2023/10/31,Tue,116880
2023/11/1,Wed,144050
2023/11/2,Thu,150250
2023/11/3,Fri,168910
2023/11/4,Sat,174200
2023/11/5,Sun,154000
2023/11/6,Mon,123200
2023/11/7,Tue,132500
2023/11/8,Wed,127050
2023/11/9,Thu,129950
2023/11/10,Fri,124550
2023/11/11,Sat,152887
2023/11/12,Sun,128230
2023/11/13,Mon,102567
2023/11/14,Tue,74800
2023/11/15,Wed,128550
2023/11/16,Thu,123260
2023/11/17,Fri,129750
2023/11/18,Sat,131380
2023/11/19,Sun,186360
2023/11/20,Mon,68380
2023/11/21,Tue,114980
2023/11/22,Wed,137300
2023/11/23,Thu,168000
2023/11/24,Fri,130150
2023/11/25,Sat,167050
2023/11/26,Sun,178930
2023/11/27,Mon,119350
2023/11/28,Tue,110400
2023/11/29,Wed,183600
2023/11/30,Thu,102700
2023/12/1,Fri,111400
2023/12/2,Sat,216000
2023/12/3,Sun,172800
2023/12/4,Mon,88250
2023/12/5,Tue,93700
2023/12/6,Wed,122000
2023/12/7,Thu,134000
2023/12/8,Fri,170580
2023/12/9,Sat,178650
2023/12/10,Sun,201180
2023/12/11,Mon,102950
2023/12/12,Tue,107804
2023/12/13,Wed,150500
2023/12/14,Thu,149850
2023/12/15,Fri,156030
2023/12/16,Sat,220850
2023/12/17,Sun,180750
2023/12/18,Mon,128650
2023/12/19,Tue,90750
2023/12/20,Wed,158350
2023/12/21,Thu,154250
2023/12/22,Fri,193950
2023/12/23,Sat,174600
2023/12/24,Sun,232500
2023/12/25,Mon,181300
2023/12/26,Tue,129800
2023/12/27,Wed,163200
2023/12/28,Thu,224850
2023/12/29,Fri,243830
2023/12/30,Sat,182030
2023/12/31,Sun,0
2024/1/1,Mon,0
2024/1/2,Tue,0
2024/1/3,Wed,0
2024/1/4,Thu,188480
2024/1/5,Fri,169800
2024/1/6,Sat,151900
2024/1/7,Sun,112200
2024/1/8,Mon,152250
2024/1/9,Tue,100650
2024/1/10,Wed,143600
2024/1/11,Thu,101700
2024/1/12,Fri,109100
2024/1/13,Sat,111050
2024/1/14,Sun,100300
2024/1/15,Mon,113150
2024/1/16,Tue,147050
2024/1/17,Wed,113500
2024/1/18,Thu,116550
2024/1/19,Fri,199150
2024/1/20,Sat,227650
2024/1/21,Sun,180400
2024/1/22,Mon,152250
2024/1/23,Tue,102300
2024/1/24,Wed,137350
2024/1/25,Thu,123150
2024/1/26,Fri,170050
2024/1/27,Sat,173600
2024/1/28,Sun,182800
2024/1/29,Mon,161200
2024/1/30,Tue,110550
2024/1/31,Wed,78000
2024/2/1,Thu,128250
2024/2/2,Fri,204050
2024/2/3,Sat,196230
2024/2/4,Sun,335000
2024/2/5,Mon,203300
2024/2/6,Tue,137700
2024/2/7,Wed,194100
2024/2/8,Thu,140650
2024/2/9,Fri,194750
2024/2/10,Sat,245600
2024/2/11,Sun,283650
2024/2/12,Mon,165150
2024/2/13,Tue,130400
2024/2/14,Wed,175300
2024/2/15,Thu,140600
2024/2/16,Fri,144400
2024/2/17,Sat,182700
2024/2/18,Sun,142850
2024/2/19,Mon,133000
2024/2/20,Tue,125900
2024/2/21,Wed,100950
2024/2/22,Thu,184500
2024/2/23,Fri,145450
2024/2/24,Sat,179850
2024/2/25,Sun,179680
2024/2/26,Mon,83800
2024/2/27,Tue,73550
2024/2/28,Wed,117450
2024/2/29,Thu,225300
2024/3/1,Fri,153300
2024/3/2,Sat,130600
2024/3/3,Sun,95250
2024/3/4,Mon,70400
2024/3/5,Tue,70300
2024/3/6,Wed,105300
2024/3/7,Thu,113850
2024/3/8,Fri,121200
2024/3/9,Sat,131300
2024/3/10,Sun,129650
2024/3/11,Mon,66100
2024/3/12,Tue,97150
2024/3/13,Wed,79750
2024/3/14,Thu,100900
2024/3/15,Fri,79250
2024/3/16,Sat,151400
2024/3/17,Sun,117850
2024/3/18,Mon,94000
2024/3/19,Tue,99700
2024/3/20,Wed,0
2024/3/21,Thu,137030
2024/3/22,Fri,125300
2024/3/23,Sat,118650
2024/3/24,Sun,118950
2024/3/25,Mon,101100
2024/3/26,Tue,92950
2024/3/27,Wed,0
2024/3/28,Thu,102400
2024/3/29,Fri,176000
2024/3/30,Sat,106300
2024/3/31,Sun,127550