date,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,total
2023-05-27,65600,78450,87000,105350,56850,158500,158250,130350,43650,0,884000
2023-05-28,102550,84050,104400,70350,35700,66400,99850,7400,5500,0,576200
2023-05-29,29100,36350,0,0,6850,48800,38500,5200,33000,0,197800
2023-05-30,31400,3400,0,5700,12400,11000,11000,0,0,0,74900
2023-05-31,78050,20500,2450,21300,17250,45300,11750,16400,28850,0,241850
2023-06-01,60500,68450,33000,20200,12000,64600,125650,48200,600,0,433200
2023-06-02,81300,29350,23600,5700,34250,47700,96800,74350,0,0,393050
2023-06-03,71500,12350,28700,41450,32900,90350,62400,2800,0,0,342450
2023-06-04,56250,50150,4350,2800,11000,38500,26700,44950,0,0,234700
2023-06-05,32650,28600,5500,12700,0,8200,11000,6800,0,0,105450
2023-06-06,22850,39800,13300,23300,21500,2800,104650,20450,5700,0,254350
2023-06-07,39050,11000,10500,17700,21400,24400,56700,0,0,0,180750
2023-06-08,76400,70600,43450,35850,20500,74550,124000,51300,11400,0,508050
2023-06-09,6050,0,4400,2450,13700,53650,52850,27500,0,0,160600
2023-06-10,145700,164600,96000,27750,86000,82950,99100,67400,5250,1200,775950
2023-06-11,288600,163300,153000,149900,152250,130300,183250,107050,41600,0,1369250
2023-06-12,179650,51350,64800,24150,38500,84250,58500,31450,2050,0,534700
2023-06-13,41250,10200,38100,87700,13250,9800,78600,27950,0,0,306850
2023-06-14,46700,32100,15100,37950,50250,84650,117250,28850,0,2100,414950
2023-06-15,122350,114650,20100,18600,14650,65550,50400,30950,926100,0,1363350
2023-06-16,36600,30250,65300,30900,111300,103250,300750,150300,4500,23550,856700
2023-06-17,290450,168450,178350,225150,187750,202100,342100,119050,33150,24400,1770950
2023-06-18,142400,172650,38350,70100,39400,23700,87700,9350,6650,0,590300
2023-06-19,126650,55800,59150,26400,48100,64100,137450,38350,4900,0,560900
2023-06-20,142500,45650,50150,45300,63400,115100,206100,42900,1400,0,712500
2023-06-21,98550,28500,46250,54250,56900,201600,261500,89500,2500,0,839550
2023-06-22,47750,85800,47700,78150,30200,52800,177600,14550,0,0,534550
2023-06-23,48700,44150,22850,14200,19100,187250,260300,62000,13450,0,672000
2023-06-24,196300,187000,151150,96500,147650,288800,329750,244350,36700,0,1678200
2023-06-25,300850,309750,205800,160350,206750,222600,203150,174600,9250,0,1793100
2023-06-26,55200,68700,45850,39350,95400,156150,226600,48350,700,0,736300
2023-06-27,168900,208350,50500,37050,114100,151350,236300,122700,13250,0,1102500
2023-06-28,99650,123500,62650,62650,92700,118700,139950,162500,34700,0,897000
2023-06-29,64500,44550,29600,45450,51900,60000,20700,18150,6050,0,340900
2023-06-30,54700,52700,35650,20300,0,163650,89550,36300,1200,0,454050
2023-07-01,85900,86450,105050,37400,90900,190750,209850,175750,32050,0,1014100
2023-07-02,198200,152300,93700,87100,118300,119500,138100,150000,91250,4000,1152450
2023-07-03,147150,29000,47450,88800,54900,104400,152850,21900,17000,4100,667550
2023-07-04,126250,58800,45800,61400,96550,90550,124950,173050,30750,0,808100
2023-07-05,110250,71900,154900,106950,66500,73650,310950,167950,32400,0,1095450
2023-07-06,129400,73000,47700,38400,15650,108900,22000,0,1127500,44000,1606550
2023-07-07,127450,114550,62300,63800,228350,219450,432850,385450,101400,41000,1776600
2023-07-08,327200,236300,233000,299900,149100,272100,293050,373300,357550,1700,2543200
2023-07-09,10150,193350,482800,263150,195750,331000,258150,485100,69250,2100,2290800
2023-07-10,147900,76900,79850,99850,52450,160700,349400,175850,66300,0,1209200
2023-07-11,143400,128800,44600,3200,40300,119000,76150,235250,18450,0,809150
2023-07-12,168150,63000,13700,9900,27250,203000,175600,55250,71500,10000,797350
2023-07-13,133700,53700,47000,48500,68450,52000,319250,128350,99800,0,950750
2023-07-14,123450,47350,51500,9500,138100,188950,694250,344500,111950,7100,1716650
2023-07-15,125800,20500,59250,128400,330500,152500,260350,113150,42150,5500,1238100
2023-07-16,546250,240150,361100,223050,354100,386450,249850,330400,157700,10450,2859500
2023-07-17,324300,128000,96100,105100,133100,124550,156450,266900,113700,4800,1453000
2023-07-18,96950,102250,79400,95500,78550,112650,145750,386250,27600,0,1124900
2023-07-19,217550,106350,78900,38100,121300,145500,246950,147850,34600,687100,1824200
2023-07-20,107300,87250,133950,94300,302250,142800,433350,155500,443550,15900,1916150
2023-07-21,101350,134450,74800,225850,127050,460200,270100,389300,479250,82400,2344750
2023-07-22,396000,224250,126300,187700,176050,286050,521100,298300,84250,713450,3013450
2023-07-23,295950,236600,151850,84450,81950,310650,310550,286350,85400,12800,1856550
2023-07-24,82800,22400,101650,54700,82450,316100,253300,302550,141650,14500,1372100
2023-07-25,92650,15100,77600,18100,96200,122450,312000,359700,237150,270000,1600950
2023-07-26,165350,48600,78050,54100,98250,268950,387850,141400,89650,59200,1391400
2023-07-27,45600,68100,28200,65000,312000,154550,572050,302200,93150,0,1640850
2023-07-28,187350,210500,62400,39350,121600,284050,504350,496350,100500,108850,2115300
2023-07-29,244100,102500,80950,58450,292550,357200,671800,578050,88450,39200,2513250
2023-07-30,178500,115700,110800,221900,206150,262200,255350,230950,68500,1200,1651250
2023-07-31,60900,64450,18500,35000,67550,52850,275300,273300,121650,7400,976900
2023-08-01,91250,106800,75450,91300,205250,297850,429050,182450,96850,6600,1582850
2023-08-02,106100,24700,32400,18700,135450,159700,458500,380650,86700,22700,1425600
2023-08-03,85550,20250,35100,74900,38500,369750,335250,233650,67400,2400,1262750
2023-08-04,17000,62450,73800,52750,51750,291750,383800,626050,179800,0,1739150
2023-08-05,184450,147250,249500,163000,298700,288150,643950,430650,221700,11000,2638350
2023-08-06,173450,55150,87700,99750,156150,175750,200900,109600,49350,0,1107800
2023-08-07,89150,72150,50900,91350,64900,129600,359100,454800,125350,4100,1441400
2023-08-08,114150,83800,33400,261100,24350,177950,277350,947450,33500,1900,1954950
2023-08-09,109200,127200,50050,32100,91000,460650,294500,489500,30500,700,1685400
2023-08-10,149900,78700,110150,88650,17200,356150,388600,672250,40550,20600,1922750
2023-08-11,222350,186300,118600,164800,323800,355100,314350,370850,139700,16500,2212350
2023-08-12,190750,188900,80000,159200,276900,270700,532250,442950,145600,1400,2288650
2023-08-13,282300,139750,141700,132150,189200,370900,390900,401700,187350,9500,2245450
2023-08-14,265500,183750,109600,151950,159850,324850,394850,272250,69150,3900,1935650
2023-08-15,249750,90150,117600,147500,165950,402750,515300,220950,55600,22000,1987550
2023-08-16,81450,98450,56500,28850,24800,53100,230250,230250,36050,0,839700
2023-08-17,115850,122400,36450,100750,75950,104000,176000,195050,43000,5600,975050
2023-08-18,128500,88850,54650,97500,127550,208300,633750,376700,112850,0,1828650
2023-08-19,291200,211300,110250,177050,281900,223300,588300,306850,99500,12750,2302400
2023-08-20,237600,93800,89250,197750,240350,222600,448100,175200,54700,27500,1786850
2023-08-21,125800,116850,49800,77100,112150,119950,447550,252950,42600,0,1344750
2023-08-22,89750,40400,74850,59300,32150,268200,376850,267850,80950,22700,1313000
2023-08-23,37400,24400,22650,76900,78550,427450,248200,261500,63350,0,1240400
2023-08-24,45650,48600,47350,13450,29500,64850,463600,412700,6700,33700,1166100
2023-08-25,76900,25300,48600,23100,15000,97350,293600,558400,183700,11000,1332950
2023-08-26,295500,91650,254900,97900,185150,253650,294350,187000,108600,12100,1780800
2023-08-27,266100,65550,163200,102750,234650,186150,338400,174550,61900,1600,1594850
2023-08-28,95550,56200,38000,3400,42950,68000,196200,257100,69200,5500,832100
2023-08-29,90750,68600,30800,18550,124200,369900,238000,103400,24600,115500,1184300
2023-08-30,95650,133350,47000,88200,27950,59100,520650,149100,29400,66000,1216400
2023-08-31,71150,38150,5250,71350,14800,246800,273850,291550,26850,700,1040450
2023-09-01,194750,66600,7050,25050,231550,78150,264250,316650,60750,0,1244800
2023-09-02,239400,217250,103500,145950,256100,312700,259150,135700,27500,0,1697250
2023-09-03,235000,232850,102400,54600,212550,300300,181000,150450,31400,22000,1522550
